=N:[UsageMeter (2024-03-25 15:22:20 Eastern Daylight Time)] usage server initial connection
Analyzing...
Elaborating...
  Top-level modules:
    $unit
    carry_lookahead_adder_tb
=W:[CmdLineDefparam]:
    The following command-line parameter overrides have been applied:    

        carry_lookahead_adder_tb.VERBOSITY     0    

        carry_lookahead_adder_tb.ADD_ERRORS    1    

  Found 6 unique specialization(s) of 6 design element(s).
Optimizing...
Building models...
PLI/VPI access: +b 
Simulation time precision is 1ns.
  [4/5] module carry_lookahead_adder_tb#(10,3,0,1): 9 functions, 57 basic blocks
Linking image.so...
Using default typical min/typ/max.
=S:Begin run-time elaboration and static initialization...
=N:[dumpMXD] preparing MXD dump to 'waves.mxd'.
=N:[dump] Dump started at time 0
=N:Starting event scheduler...
[645 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[5115 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[5125 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[5695 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[5705 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[5715 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[5725 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[5735 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[5745 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[5755 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[5765 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
[6335 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=0, exp_result=0, received result=7
[6345 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=1, exp_result=0, received result=8
[6355 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=2, exp_result=0, received result=9
[6365 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=3, exp_result=0, received result=10
[6375 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=4, exp_result=0, received result=11
[6385 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=5, exp_result=0, received result=12
[6395 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=6, exp_result=0, received result=13
[6405 ns] [carry_lookahead_adder_tb/Checker] Error: Sum is incorrect. r_add1=7, r_add2=7, exp_result=0, received result=14
Test: FAILED (73 errors encountered)
=N:[dumpMXD] closing MXD dump
=T:Simulation terminated by $finish at time 6410 (..\testbench\carry_lookahead_adder_directed_tb.sv:80);
Run directory: C:\work\CLA_adder_ghub\carry_lookahead_adder\SystemVerilog\sim
  System timescale is 1ns / 1ns
  Metrics DSim version: 20240129.4.0 (b:R #c:0 h:b91828ba8a os:msys2_)
  Random seed: (defaulted to 1)
